Posicao;TIPO;Estado;VrCausa;Procedencia;tempo;VrPago
Réu;Cível Outros;RJ;16564.8;ACORDO;44;577906.98
Réu;Cível Outros;SP;170071.91;ACORDO;13;
Réu;Cível Seguros;AC;35492.4;ACORDO;122;69581.29
Réu;Cível Seguros;AL;150615.96;ACORDO;3;53717
Réu;Cível Seguros;AM;1810505.03;ACORDO;124;2200862.27
Réu;Cível Seguros;AM;246577.17;ACORDO;120;888751.34
Réu;Cível Seguros;AM;990573.4;ACORDO;27;322951.58
Réu;Cível Seguros;AM;192030.69;ACORDO;66;166396.35
Réu;Cível Seguros;AM;1499380.22;ACORDO;54;10382.77
Réu;Cível Seguros;AM;420200.69;ACORDO;47;202093.72
Réu;Cível Seguros;AM;542247.56;ACORDO;37;1793205.76
Réu;Cível Seguros;AM;1498578.65;ACORDO;178;2220864.32
Réu;Cível Seguros;AM;2191244.72;ACORDO;132;956202.2
Réu;Cível Seguros;AM;167837.13;ACORDO;61;
Réu;Cível Seguros;BA;1563940.19;ACORDO;24;416593.46
Réu;Cível Seguros;BA;32585.49;ACORDO;104;168688.85
Réu;Cível Seguros;BA;127130.14;ACORDO;20;31294.37
Réu;Cível Seguros;BA;1275580.07;ACORDO;59;1369248.06
Réu;Cível Seguros;CE;52111.14;ACORDO;7;5198.58
Réu;Cível Seguros;CE;245764.37;ACORDO;10;221881.61
Réu;Cível Seguros;CE;2256466.72;ACORDO;32;1142466.31
Réu;Cível Seguros;CE;2005.68;ACORDO;50;
Réu;Cível Seguros;CE;1585.43;ACORDO;23;1947878.4
Réu;Cível Seguros;CE;3353510.99;ACORDO;15;1947878.4
Réu;Cível Seguros;CE;453433.31;ACORDO;19;52166.38
Réu;Cível Seguros;CE;743732.34;ACORDO;4;59688.31
Réu;Cível Seguros;CE;338258.07;ACORDO;180;33387.13
Réu;Cível Seguros;CE;8434.92;ACORDO;4;2346.12
Réu;Cível Seguros;CE;331960.51;ACORDO;12;53542.08
Réu;Cível Seguros;CE;4016647.69;ACORDO;4;1533014.86
Réu;Cível Seguros;DF;17292.07;ACORDO;40;17471.94
Réu;Cível Seguros;DF;140163.29;ACORDO;23;58966.6
Réu;Cível Seguros;ES;83192.7;ACORDO;97;3550139.67
Réu;Cível Seguros;ES;31789.7;ACORDO;61;5676.5
Réu;Cível Seguros;ES;19537.36;ACORDO;23;18571.38
Réu;Cível Seguros;ES;299800.7;ACORDO;77;319299.08
Réu;Cível Seguros;ES;6781.36;ACORDO;85;456991.09
Réu;Cível Seguros;GO;19563.71;ACORDO;4;29160.97
